측정소,아황산가스(SO2 ppm),이산화질소(NO2 ppm),오존(O3 ppm),일산화탄소(CO ppm),미세먼지(PM-10),초미세먼지
건국동,0.003,0.0097,0.0447,0.38,22,13
노대동,0.0029,0.0043,0.0445,0.47,22,14
농성동,0.0031,0.0081,0.046,0.4,20,14
두암동,0.0032,0.0088,0.0488,0.4,23,13
서석동,0.0028,0.0079,0.0493,0.32,22,14
오선동,0.003,0.0112,0.0437,0.47,26,14
우산동,0.0031,0.0102,0.05,0.36,23,14
유촌동,0.0029,0.0121,0.0509,0.38,24,14
일곡동,0.003,0.0074,0.0488,0.33,22,15
주월동,0.0028,0.01,0.048,0.37,24,13
평동,0.0029,0.0086,0.0435,0.48,28,17
운암동,0.0032,0.0178,0.0423,0.52,27,15
치평동,0.0029,0.0109,0.0444,0.47,26,15
