시군,명칭,소재지,전화번호
목포시,목포시노인복지관,호남로 67번길5,061-278-8516
목포시,하당노인복지관,입암로20번길 25,061-285-0582
목포시,하나노인복지관,해안로229번길 9-1,061-242-5354
목포시,목포이랜드노인복지관,용당로161번길 14,061-278-0200
여수시,여수시노인복지관,학동서4길 58-16(학동),061-685-2381
여수시,"동여수노인복지관(본관, 분관)",국동5길 7(국동),061-640-3200
순천시,순천시용당노인복지관,용당신흥길 66,061-749-8417
순천시,순천시동부노인복지관,장선배기길 18,061-749-4840
순천시,순천시남부노인복지관,장평로 60,061-749-4550
순천시,주암댐효나눔노인복지센터 / 주암댐노인복지관,승주로 696,061-755-7462
나주시,나주시노인복지관,예향로 3874(영산동),061-334-7726
나주시,나주시중부노인복지관,금성길 74(성북동),061-333-8900
나주시,나주시동부노인복지관,남평읍 지석로 31,061-339-4871
광양시,"광양노인복지관(본관, 분관)",광양읍 백운로 8-3,061-797-2651
광양시,광양시중마노인복지관,중동로 50,061-794-9988
담양군,담양군향촌노인종합복지관,담양읍 죽향문화로 431-33,061-380-1300
고흥군,고흥군노인복지관,고흥읍 고흥로 1941,061-830-4200
고흥군,도양노인건강복지타운노인복지관,도양읍 차경구렁목길 235,061-830-1800
보성군,보성군노인복지관,벌교읍 신정길 47-23,061-858-8900
화순군,화순군나드리노인복지관,화순읍 학포로 2642,061-371-1166
장흥군,장흥군노인복지관,장흥읍 동교1길57,061-860-7800
해남군,해남노인종합복지관,해남읍 해남읍 서림길 16,061-537-0012
영암군,영암군노인복지관,영암읍 오리정길38,061-470-6743
무안군,무안군노인복지관,무안읍 창포로 4,061-450-5522
무안군,일로노인복지관,일로읍 일로중앙로 19-11,061-450-4227
함평군,함평군노인복지관,함평읍 들샘길 36,061-323-5518
영광군,영광군노인복지관,영광읍 대하길 19,061-351-9985
장성군,장성군노인복지관,장성읍 청운11길 11,061-392-7415
진도군,진도노인복지관,진도읍 성동길 6-1,061-544-5504
진도군,서경노인복지관,의신면 왕온로 20-7,061-542-2119
